"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"AA","PAP","Drabo corymbosae-Papaveretea dahliani Daniëls, Elvebakk et Matveyeva in Daniëls et al. 2016","Polar deserts of the Arctic zone of the Arctic Ocean archipelagos"
"AA01","PAP-01","Saxifrago oppositifoliae-Papaveretalia dahliani Daniëls, Elvebakk et Matveyeva in Daniëls et al. 2016","Polar deserts of the Arctic zone of the Arctic Ocean archipelagos"
"AA01A","PAP-01A","Papaverion dahliani Hofmann ex Daniëls, Elvebakk et Matveyeva in Daniëls et al. 2016","Polar deserts of the Arctic zone of the Arctic Ocean archipelagos"
"AB","KOB","Carici rupestris-Kobresietea bellardii Ohba 1974","Circum-arctic fellfield and dwarf-scrub graminoid tundra, and relict wind-exposed short grasslands on base-rich substrates in the alpine and subnival belts of the European boreal and nemoral mountain ranges"
"AB01","KOB-01","Thymo arcticae-Kobresietalia bellardii Ohba 1974","Graminoid tundra and dwarf-shrub fellfield vegetation of Scandinavia, Northern Russia, Iceland, the Arctic Ocean islands, Greenland and the Arctic North America"
"AB01A","KOB-01A","Kobresio-Dryadion Nordhagen 1943","Graminoid tundra and dwarf-scrub heath vegetation of Scotland, Scandinavia, Iceland and the Arctic Ocean islands"
"AB01B","KOB-01B","Dryado octopetalae-Caricion arctisibiricae Koroleva et Kulyugina in Chytrý et al. 2015","Graminoid tundra and dwarf-scrub heath vegetation of Arctic Western Russia and Siberia"
"AB01C","KOB-01C","Dryadion integrifoliae Ohba ex Daniëls 1982","Graminoid tundra and dwarf-scrub heath vegetation of Greenland and the Arctic North America"
"AB02","KOB-02","Oxytropido-Elynetalia Albrecht 1969","Relict summit graminoid tundra in the alpine and subnival belts of the nemoral mountain ranges of the Pyrenees, the Alps, the Carpathians, the Apennines and the Balkans"
"AB02A","KOB-02A","Oxytropido-Elynion myosuroidis Br.-Bl. 1950","Summit graminoid tundra in the alpine and subnival belts of the Pyrenees, the Alps and the Carpathians"
"AB02B","KOB-02B","Leontopodio nivalis-Elynion myosuroidis (Blasi et al. 2003) Di Pietro et Mucina in Chytrý et al. 2015","Summit graminoid tundra in the alpine and subnival belts of the Apennines and the Balkans"
"AB02C","KOB-02C","Festucion versicoloris Krajina 1933","Alpine tussock grasslands on mylonites of the Western Carpathians"
"AB02D","KOB-02D","Agrostion alpinae Jeník et al. 1980","Subalpine tussock grasslands on steep or terraced slopes on base-rich substrates of the Eastern Hercynicum"
"AB03","KOB-03","Kobresietalia capilliformis Tsepkova 1987","Chionophobous summit graminoid and dwarf-scrub mountain tundra in the alpine and subnival belts of the Caucasus"
"AB03A","KOB-03A","Kobresion capilliformis Tsepkova 1987","Chionophobous summit graminoid mountain tundra in the alpine and subnival belts of the Caucasus"
"AB03B","KOB-03B","Salici kazbekensis-Empetrion nigrae Onipchenko 2002","Chionophobous summit ericoid dwarf-heath mountain tundra in the alpine and subnival belts of the Caucasus"
"AC","LOI","Loiseleurio procumbentis-Vaccinietea Eggler ex Schubert 1960","Arctic-boreal tundra scrub and relict alpine acidophilous dwarf-heath mountain tundra of Eurasia and North America"
"AC01","LOI-01","Rhododendro ferruginei-Vaccinietalia Br.-Bl. in Br.-Bl. et Jenny 1926","Relic acidophilous dwarf-heath mountain tundra in the subalpine and alpine belts of the nemoral mountain ranges of Western, Central and Southern Europe, and the Caucasus"
"AC01A","LOI-01A","Loiseleurio procumbentis-Vaccinion Br.-Bl. in Br.-Bl. et Jenny 1926","Relic alpine silicicolous dwarf heath in wind-exposed habitats of the nemoral mountain ranges of Europe"
