taxon,evc.taxon
Alchemilla lineata,Alchemilla lineata
Alchemilla longana,Alchemilla longana
Alchemilla longituba,
Alchemilla micans,Alchemilla micans
Alchemilla mollis,Alchemilla mollis
Alchemilla monticola,Alchemilla monticola
Alchemilla nitida,Alchemilla nitida
Alchemilla obtusa,Alchemilla obtusa
Alchemilla othmarii,Alchemilla othmarii
Alchemilla pallens,Alchemilla pallens
Alchemilla pentaphylla,Alchemilla pentaphyllea
Alchemilla platygyria,Alchemilla platygyria
Alchemilla plicata,Alchemilla plicata
Alchemilla racemulosa,Alchemilla racemulosa
Alchemilla reniformis,Alchemilla reniformis
Alchemilla Sect. Alchemilla,
Alchemilla Sect. Alpinae,
Alchemilla Sect. Coriaceae,
Alchemilla Sect. Plicatae,
Alchemilla semisecta,Alchemilla semisecta
Alchemilla straminea,Alchemilla straminea
Alchemilla subcrenata,Alchemilla subcrenata
Alchemilla undulata,Alchemilla undulata
Alchemilla versipila,Alchemilla versipila
Alchemilla xanthochlora,Alchemilla xanthochlora
Aldrovanda vesiculosa,Aldrovanda vesiculosa
Alectoria ochroleuca,Alectoria ochroleuca
Alisma gramineum,Alisma gramineum
Alisma lanceolatum,Alisma lanceolatum
Alisma plantago-aquatica s.str.,Alisma plantago-aquatica
Alisma subcordatum,
Alliaria petiolata,Alliaria petiolata
Allium ampeloprasum ssp. porrum,
Allium angulosum,Allium angulosum
Allium atropurpureum,Allium atropurpureum
Allium carinatum,Allium carinatum subsp. carinatum
Allium cepa var. ascalonicum,
Allium cepa var. cepa,
Allium fistulosum,
Allium flavum,Allium flavum subsp. flavum
Allium lusitanicum,Allium lusitanicum
Allium nigrum,Allium nigrum
Allium ochroleucum,Allium saxatile
Allium oleraceum,Allium oleraceum
Allium rotundum,Allium rotundum
Allium sativum,
Allium schoenoprasum var. alpinum,Allium schoenoprasum subsp. schoenoprasum
Allium schoenoprasum var. schoenoprasum,Allium schoenoprasum subsp. schoenoprasum
Allium scorodoprasum s.str.,Allium scorodoprasum
Allium sphaerocephalon s.str.,Allium sphaerocephalon
Allium strictum,Allium strictum
Allium subhirsutum,Allium subhirsutum
Allium ursinum ssp. ursinum,Allium ursinum
Allium victorialis,Allium victorialis
Allium vineale,Allium vineale
Allocetraria madreporiformis,Allocetraria madreporiformis
Alnus alnobetula ssp. alnubetula,Alnus alnobetula subsp. alnobetula
Alnus cordata,Alnus cordata
Alnus glutinosa,Alnus glutinosa
Alnus incana,Alnus incana subsp. incana
Alopecurus aequalis,Alopecurus aequalis
Alopecurus geniculatus,Alopecurus geniculatus
Alopecurus myosuroides,Alopecurus myosuroides
Alopecurus pratensis,Alopecurus pratensis
Althaea cannabina,Althaea cannabina
Althaea officinalis,Althaea officinalis
Alyssum alyssoides,Alyssum alyssoides
Alyssum desertorum,
Alyssum montanum s.lat.,Alyssum montanum
Alyssum montanum ssp. gmelinii,Alyssum montanum
Alyssum montanum ssp. montanum,Alyssum montanum
Alyssum murale,Odontarrhena muralis
Alyssum repens ssp. transsilvanicum,Alyssum repens
Amaranthus albus,Amaranthus albus
Amaranthus blitum ssp. blitum,Amaranthus blitum
Amaranthus blitum ssp. emarginatus,Amaranthus blitum
Amaranthus caudatus,Amaranthus caudatus
Amaranthus cruentus s.str.,
Amaranthus graecizans,
Amaranthus hybridus s.str.,Amaranthus hybridus
Amaranthus hypochondriacus,Amaranthus hypochondriacus
Amaranthus powellii s.lat.,Amaranthus powellii
Amaranthus powellii ssp. bouchonii,Amaranthus powellii
Amaranthus powellii ssp. powellii,Amaranthus powellii
Amaranthus retroflexus,Amaranthus retroflexus
Amaranthus viridis,Amaranthus viridis
Ambrosia artemisiifolia,Ambrosia artemisiifolia
Ambrosia psilostachya,Ambrosia psilostachya
Ambrosia trifida,Ambrosia trifida
Amelanchier lamarckii,Amelanchier lamarckii
Amelanchier ovalis,Amelanchier ovalis subsp. ovalis
Ammi majus,Ammi majus
Ammophila arenaria,Ammophila arenaria subsp. arenaria
Amorpha fruticosa,Amorpha fruticosa
Amphidium mougeotii,Amphidium mougeotii
Anacamptis coriophora,Anacamptis coriophora
Anacamptis morio,Anacamptis morio subsp. morio
Anacamptis palustris,Anacamptis palustris subsp. palustris
Anacamptis pyramidalis,Anacamptis pyramidalis
Anagallis arvensis,Anagallis arvensis subsp. arvensis
Anagallis foemina,Anagallis foemina
Anagallis tenella,Anagallis tenella
Anaphalis margaritacea,Anaphalis margaritacea
Anchusa arvensis s.str.,Anchusa arvensis
Anchusa azurea,Anchusa azurea
Anchusa officinalis,Anchusa officinalis
Andromeda polifolia,Andromeda polifolia
Androsace alpina,Androsace alpina
Androsace chamaejasme,Androsace chamaejasme
Androsace elongata,Androsace elongata subsp. elongata
Androsace hausmannii,Androsace hausmannii
Androsace helvetica,Androsace helvetica
Androsace lactea,Androsace lactea
Androsace obtusifolia,Androsace obtusifolia
Androsace septentrionalis,Androsace septentrionalis
Androsace villosa,Androsace villosa subsp. villosa
Androsace wulfeniana,Androsace wulfeniana
Anemonastrum narcissiflorum,Anemonastrum narcissiflorum subsp. narcissiflorum
Anemone baldensis,Anemone baldensis
Anemone blanda,Anemone blanda
Anemone nemorosa,Anemone nemorosa
Anemone ranunculoides,Anemone ranunculoides
Anemone sylvestris,Anemone sylvestris
Anemone trifolia,Anemone trifolia subsp. trifolia
Anethum graveolens,Anethum graveolens
Aneura pinguis,Aneura pinguis
Angelica archangelica,Angelica archangelica
Angelica sylvestris s.lat.,
Angelica sylvestris ssp. montana,Angelica sylvestris subsp. bernardae
Angelica sylvestris ssp. sylvestris,Angelica sylvestris subsp. sylvestris
Anomodon attenuatus,Anomodon attenuatus
Anomodon viticulosus,Anomodon viticulosus
Antennaria carpatica,Antennaria carpatica
Antennaria dioica,Antennaria dioica
Anthelia juratzkana,Anthelia juratzkana
Anthemis arvensis ssp. arvensis,Anthemis arvensis subsp. arvensis
Anthemis austriaca,Cota austriaca 
Anthemis cotula,Anthemis cotula
Anthemis montana,Anthemis cretica subsp. carpatica
Anthemis ruthenica,Anthemis ruthenica
Anthemis tinctoria,Cota tinctoria subsp. tinctoria
Anthericum liliago,Anthericum liliago
Anthericum ramosum,Anthericum ramosum
Anthoxanthum alpinum,Anthoxanthum nipponicum
Anthoxanthum aristatum,Anthoxanthum aristatum
Anthoxanthum odoratum agg.,
Anthoxanthum odoratum s.str.,Anthoxanthum odoratum
Anthriscus caucalis,Anthriscus caucalis
Anthriscus cerefolium var. cerefolium,Anthriscus cerefolium
Anthriscus cerefolium var. longirostris,Anthriscus cerefolium
Anthriscus nitidus,Anthriscus nitidus
Anthriscus sylvestris s.str.,Anthriscus sylvestris subsp. sylvestris
Anthyllis montana,Anthyllis montana subsp. montana
Anthyllis vulneraria s.lat.,
Anthyllis vulneraria ssp. alpicola,Anthyllis vulneraria subsp. alpicola
Anthyllis vulneraria ssp. carpatica,Anthyllis vulneraria subsp. carpatica
Anthyllis vulneraria ssp. polyphylla,Anthyllis vulneraria subsp. polyphylla
Anthyllis vulneraria ssp. pseudovulneraria,Anthyllis vulneraria subsp. pseudovulneraria
Antirrhinum majus,Antirrhinum majus subsp. majus
Apera interrupta,Apera interrupta
Apera spica-venti,Apera spica-venti
Aphanes arvensis,
Aphanes australis,Aphanes australis
Apium graveolens ssp. rapaceum,Apium graveolens
Aposeris foetida,Aposeris foetida
Aquilegia alpina,Aquilegia alpina
Aquilegia atrata,Aquilegia atrata
Aquilegia einseleana,Aquilegia einseleana
Aquilegia nigricans,
Aquilegia vulgaris,Aquilegia vulgaris subsp. vulgaris
Arabidopsis arenosa,Arabidopsis arenosa subsp. arenosa
Arabidopsis halleri,Arabidopsis halleri subsp. halleri
Arabidopsis petraea,Arabidopsis petraea
Arabidopsis thaliana,Arabidopsis thaliana
Arabis alpina ssp. alpina,Arabis alpina subsp. alpina
Arabis alpina ssp. caucasica,Arabis alpina subsp. caucasica
Arabis auriculata,Arabis auriculata
Arabis bellidifolia s.str.,Arabis soyeri subsp. soyeri
Arabis caerulea,Arabis caerulea
Arabis ciliata,Arabis ciliata
Arabis hirsuta agg.,
Arabis hirsuta s.str.,Arabis hirsuta
Arabis nemorensis,
Arabis sagittata,Arabis sagittata
Arabis soyeri s.lat.,
Arabis soyeri ssp. subcoriacea,Arabis soyeri subsp. subcoriacea
Arabis stellulata,Arabis stellulata
Arabis sudetica,Arabis sudetica
Aralia spinosa,
Arctium lappa,Arctium lappa
Arctium minus s.str.,Arctium minus
Arctium nemorosum,Arctium nemorosum
Arctium pubens,
Arctium tomentosum,
Arctostaphylos alpinus,Arctostaphylos alpina
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi subsp. uva-ursi
Aremonia agrimonoides ssp. agrimonoides,Aremonia agrimonoides
Arenaria biflora,Arenaria biflora
Arenaria ciliata,Arenaria ciliata subsp. ciliata
Arenaria grandiflora,Arenaria grandiflora subsp. grandiflora
Arenaria huteri,Arenaria huteri
Arenaria leptoclados,Arenaria leptoclados
Arenaria marschlinsii,Arenaria marschlinsii
Arenaria serpyllifolia agg.,
Arenaria serpyllifolia s.str.,Arenaria serpyllifolia
Arenaria tenella,
Aristolochia clematitis,Aristolochia clematitis
Armeria alpina,Armeria alpina subsp. alpina
Armeria elongata,Armeria maritima subsp. elongata
Armoracia rusticana,Armoracia rusticana
Arnica montana,Arnica montana subsp. montana
Arnoseris minima,Arnoseris minima
Arrhenatherum elatius,Arrhenatherum elatius subsp. elatius
Artemisia abrotanum,Artemisia abrotanum
Artemisia absinthium,Artemisia absinthium
Artemisia annua,Artemisia annua
Artemisia austriaca,Artemisia austriaca
Artemisia campestris,Artemisia campestris subsp. campestris
Artemisia dracunculus,Artemisia dracunculus
Artemisia eriantha,Artemisia umbelliformis subsp. eriantha
Artemisia genipi,Artemisia genipi
Artemisia mutellina,Artemisia umbelliformis subsp. umbelliformis
Artemisia pontica,Artemisia pontica
Artemisia scoparia,Artemisia scoparia
Artemisia verlotiorum,Artemisia verlotiorum
Artemisia vulgaris,Artemisia vulgaris
Arum cylindraceum,Arum cylindraceum
Arum maculatum,Arum maculatum
Aruncus dioicus,Aruncus dioicus
Asarum europaeum s.lat.,
Asarum europaeum ssp. caucasicum,Asarum europaeum subsp. caucasicum
Asarum europaeum ssp. europaeum,Asarum europaeum subsp. europaeum
Asclepias syriaca,Asclepias syriaca
Asparagus officinalis,Asparagus officinalis subsp. officinalis
Asperugo procumbens,Asperugo procumbens
Asperula aristata,Asperula aristata subsp. aristata
Asperula arvensis,Asperula arvensis
Asperula cynanchica,Asperula cynanchica subsp. cynanchica
Asperula neilreichii,Asperula neilreichii
Asperula taurina,Asperula taurina subsp. taurina
Asperula tinctoria,Asperula tinctoria
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum
Asplenium adulterinum,Asplenium adulterinum subsp. adulterinum
Asplenium cuneifolium,Asplenium cuneifolium
Asplenium fissum,Asplenium fissum
Asplenium fontanum,Asplenium fontanum
Asplenium lepidum,Asplenium lepidum subsp. lepidum
Asplenium ruta-muraria,Asplenium ruta-muraria subsp. ruta-muraria
Asplenium scolopendrium ssp. scolopendrium,Asplenium scolopendrium subsp. scolopendrium
Asplenium seelosii ssp. seelosii,Asplenium seelosii subsp. seelosii
Asplenium septentrionale ssp. septentrionale,Asplenium septentrionale
Asplenium trichomanes s.lat.,
Asplenium trichomanes ssp. hastatum,Asplenium trichomanes subsp. hastatum
Asplenium trichomanes ssp. pachyrhachis,Asplenium trichomanes subsp. pachyrachis
Asplenium trichomanes ssp. quadrivalens,Asplenium trichomanes subsp. quadrivalens
Asplenium trichomanes ssp. trichomanes,Asplenium trichomanes subsp. trichomanes
Asplenium viride,Asplenium viride
Aster alpinus,Aster alpinus
Aster amellus,Aster amellus
Astilbe japonica,
Astragalus alpinus ssp. alpinus,Astragalus alpinus
Astragalus asper,Astragalus asper
Astragalus australis,Astragalus australis subsp. australis
Astragalus austriacus,Astragalus austriacus
Astragalus cicer,Astragalus cicer
Astragalus danicus,Astragalus danicus
Astragalus frigidus,Astragalus frigidus
Astragalus glycyphyllos,Astragalus glycyphyllos
Astragalus norvegicus,Astragalus norvegicus
Astragalus onobrychis,Astragalus onobrychis
Astragalus penduliflorus,Astragalus penduliflorus
Astrantia major,Astrantia major subsp. major
Astrantia major s.lat.,
Astrantia major var. involucrata,Astrantia major subsp. involucrata
Astrantia major var. major,Astrantia major subsp. major
Astrantia minor,Astrantia minor
Athamanta cretensis,Athamanta cretensis
Athyrium distentifolium,Athyrium distentifolium
Athyrium filix-femina,Athyrium filix-femina
Atocion armeria,Atocion armeria
Atocion rupestre,Atocion rupestre
Atriplex hortensis,Atriplex hortensis
Atriplex littoralis,Atriplex littoralis
Atriplex micrantha,Atriplex micrantha
Atriplex oblongifolia,Atriplex oblongifolia
Atriplex patula,Atriplex patula
Atriplex prostrata s.lat.,Atriplex prostrata
Atriplex sagittata,Atriplex sagittata
Atriplex tatarica,Atriplex tatarica
Atropa bella-donna,Atropa bella-donna
Aubrieta deltoidea,Aubrieta deltoidea var. deltoidea
Aulacomnium palustre,Aulacomnium palustre
Aurinia saxatilis,Aurinia saxatilis subsp. saxatilis
Avena brevis,
Avena fatua,Avena fatua
Avena hybrida,
Avena nuda,Avena nuda
Avena sativa ssp. contracta,Avena sativa subsp. orientalis
Avena sativa ssp. sativa,Avena sativa subsp. sativa
Avena sterilis ssp. ludoviciana,Avena sterilis subsp. ludoviciana
Avena strigosa,Avena strigosa
Avenella flexuosa,Avenella flexuosa subsp. flexuosa
Avenula adsurgens s.lat.,
Avenula adsurgens ssp. adsurgens,Helictochloa adsurgens subsp. adsurgens
Avenula adsurgens ssp. ausserdorferi,Helictochloa adsurgens subsp. ausserdorferi
Avenula praeusta,Helictochloa praeusta subsp. praeusta
Avenula pratensis,Helictochloa pratensis subsp. pratensis
Avenula versicolor,Helictochloa versicolor subsp. versicolor
Ballota nigra s.lat.,
Ballota nigra ssp. meridionalis,
Ballota nigra ssp. nigra,Ballota nigra subsp. nigra
Barbarea intermedia,Barbarea intermedia
Barbarea stricta,Barbarea stricta
Barbarea verna,
Barbarea vulgaris s.lat.,
Barbarea vulgaris ssp. arcuata,Barbarea vulgaris subsp. arcuata
Barbarea vulgaris ssp. vulgaris,Barbarea vulgaris subsp. vulgaris
Barbilophozia lycopodioides,Barbilophozia lycopodioides
Barbula unguiculata,Barbula unguiculata
Bartramia pomiformis,Bartramia pomiformis
Bartsia alpina,Bartsia alpina
Bassia prostrata,Bassia prostrata
Bassia scoparia ssp. densiflora,Bassia scoparia
Bassia scoparia ssp. scoparia,Bassia scoparia
Bazzania trilobata,Bazzania trilobata
Begonia semperflorens-cultorum-Gruppe,
Bellidiastrum michelii,Bellidiastrum michelii
Bellis perennis,Bellis perennis
Berberis julianae,
Berberis thunbergii,
Berberis vulgaris,Berberis vulgaris subsp. vulgaris
Berteroa incana,Berteroa incana
Berula erecta,Berula erecta
Beta vulgaris,
Betonica alopecuros,Betonica alopecuros
Betonica officinalis,Betonica officinalis subsp. officinalis
Betula humilis,Betula humilis
Betula nana,Betula nana
Betula pendula,Betula pendula subsp. pendula var. pendula
Betula pendula x pubescens = B. x aurata,
Betula pendula/pubescens,
Betula pubescens s.lat.,
Betula pubescens ssp. carpatica s.lat.,Betula pubescens var. glabrata
Betula pubescens ssp. pubescens,Avenula pubescens subsp. pubescens
Bidens cernua,Bidens cernua
Bidens ferulifolia,
Bidens frondosa,Bidens frondosa
Bidens radiata,Bidens radiata
Bidens tripartita,Bidens tripartita subsp. tripartita
Bifora radians,Bifora radians
Biscutella laevigata s.lat.,
Biscutella laevigata ssp. austriaca,Biscutella laevigata subsp. austriaca
Biscutella laevigata ssp. kerneri,
Biscutella laevigata ssp. laevigata,Biscutella laevigata subsp. laevigata
Blechnum spicant,Blechnum spicant
Blindia acuta,Blindia acuta
Blysmus compressus,Blysmus compressus
Bolboschoenus laticarpus,Bolboschoenus laticarpus
Bolboschoenus maritimus agg.,
Borago officinalis,Borago officinalis
Bothriochloa ischaemum,Bothriochloa ischaemum
Botrychium lunaria,Botrychium lunaria
Botrychium matricariifolium,Botrychium matricariifolium
Botrychium multifidum,Botrychium multifidum
Botrychium virginianum,Botrychium virginianum
Brachypodium pinnatum agg.,
Brachypodium pinnatum s.str.,Brachypodium pinnatum
Brachypodium rupestre s.lat.,
Brachypodium rupestre spp. caespitosum,
Brachypodium rupestre spp. rupestre,Brachypodium rupestre
Brachypodium sylvaticum,Brachypodium sylvaticum
Brachythecium albicans,Brachythecium albicans
Brachythecium capillaceum,Brachythecium capillaceum
Brachythecium rivulare,Brachythecium rivulare
Brachythecium rutabulum,Brachythecium rutabulum
Brassica juncea,
Brassica napus,Brassica napus
Brassica nigra,Brassica nigra
Brassica oleracea,Brassica oleracea subsp. oleracea
Brassica rapa,Brassica rapa subsp. rapa
Braya alpina,Braya alpina
Briza media,Briza media
Bromus arvensis,Bromus arvensis subsp. arvensis
Bromus benekenii,Bromopsis benekenii
Bromus carinatus,
Bromus commutatus s.lat.,
Bromus commutatus ssp. commutatus,Bromus commutatus subsp. commutatus
Bromus commutatus ssp. decipiens,
Bromus diandrus,
Bromus erectus,
Bromus grossus,Bromus grossus
Bromus hordeaceus s.lat.,
Bromus hordeaceus ssp. bicuspis,
Bromus hordeaceus ssp. hordeaceus,Bromus hordeaceus subsp. hordeaceus
Bromus hordeaceus ssp. longipedicellatus,Bromus hordeaceus subsp. hordeaceus
Bromus hordeaceus ssp. pseudothominei,Bromus hordeaceus subsp. pseudothominei
Bromus incisus,
Bromus inermis,Bromopsis inermis
Bromus japonicus,Bromus japonicus
Bromus lepidus,Bromus lepidus
Bromus pumpellianus s.lat.,
Bromus racemosus ssp. lusitanicus,Bromus racemosus
Bromus racemosus ssp. racemosus,Bromus racemosus
Bromus ramosus s.str.,Bromopsis ramosa
Bromus secalinus s.str.,Bromus secalinus
Bromus squarrosus,Bromus squarrosus
Bromus sterilis,Anisantha sterilis
Bromus tectorum,Anisantha tectorum
Brunnera macrophylla,Brunnera macrophylla
Bryonia alba,Bryonia alba
Bryonia dioica,Bryonia dioica
Bryum argenteum,Bryum argenteum
Bryum schleicheri s.lat.,Bryum schleicheri
Bryum schleicheri var. latifolium,Bryum schleicheri
Bryum schleicheri var. schleicheri,Bryum schleicheri
Bryum turbinatum,Bryum turbinatum
Bryum weigelii,Bryum weigelii
Buddleja davidii,Buddleja davidii
Buglossoides arvensis,Buglossoides arvensis subsp. arvensis
Buglossoides incrassata ssp. leithneri,Buglossoides incrassata subsp. splitgerberi
Buglossoides purpurocaerulea,Buglossoides purpurocaerulea
Bunias erucago,Bunias erucago
Bunias orientalis,Bunias orientalis
Buphthalmum salicifolium,Buphthalmum salicifolium subsp. salicifolium
Bupleurum falcatum,Bupleurum falcatum subsp. falcatum
Bupleurum longifolium,Bupleurum longifolium
Bupleurum ranunculoides,Bupleurum ranunculoides subsp. ranunculoides
Bupleurum rotundifolium,Bupleurum rotundifolium
Butomus umbellatus,Butomus umbellatus
Buxus sempervirens,Buxus sempervirens
Calamagrostis arundinacea,Calamagrostis arundinacea
Calamagrostis canescens,Calamagrostis canescens
Calamagrostis epigejos,Calamagrostis epigejos
Calamagrostis pseudophragmites,Calamagrostis pseudophragmites subsp. pseudophragmites
Calamagrostis varia,Calamagrostis varia
Calamagrostis villosa,Calamagrostis villosa
Calamintha menthifolium,Clinopodium menthifolium subsp. menthifolium
Calamintha nepeta,Clinopodium nepeta subsp. nepeta
Calamintha nepeta agg.,
Caldesia parnassiifolia,Caldesia parnassifolia
Calendula officinalis,Calendula officinalis
Calepina irregularis,Calepina irregularis
Calla palustris,Calla palustris
Callianthemum anemonoides,Callianthemum anemonoides
Callianthemum coriandrifolium,Callianthemum coriandrifolium
Calliergon giganteum,Calliergon giganteum
Calliergonella cuspidata,Calliergonella cuspidata
Callistephus chinensis,Callistephus chinensis
Callitriche cophocarpa,Callitriche cophocarpa
Callitriche hamulata,Callitriche hamulata
Callitriche hermaphroditica,Callitriche hermaphroditica
Callitriche obtusangula,Callitriche obtusangula
Callitriche palustris agg.,
Callitriche palustris s.str.,Callitriche palustris
Callitriche platycarpa,Callitriche platycarpa
Callitriche stagnalis,Callitriche stagnalis
Calluna vulgaris,Calluna vulgaris
Caloplaca stillicidiorum,Caloplaca stillicidiorum
Caltha palustris,Caltha palustris
Calypogeia sphagnicola,Calypogeia sphagnicola
Calystegia sepium s.str.,Calystegia sepium
Camelina alyssum,Camelina alyssum
Camelina microcarpa s.lat.,Camelina microcarpa
Camelina microcarpa ssp. microcarpa,Camelina microcarpa
Camelina microcarpa ssp. sylvestris,Camelina microcarpa
Camelina sativa s.lat.,Camelina sativa
Camelina sativa var. sativa,Camelina sativa
Camelina sativa var. zingeri,Camelina sativa
Campanula alpina,Campanula alpina
Campanula barbata ssp. barbata,Campanula barbata subsp. barbata
Campanula beckiana,Campanula beckiana
Campanula carnica,Campanula carnica subsp. carnica
Campanula cervicaria,Campanula cervicaria
Campanula cespitosa,Campanula cespitosa
Campanula cochleariifolia,Campanula cochleariifolia
Campanula gentilis,
Campanula glomerata,Campanula glomerata subsp. glomerata
Campanula latifolia,Campanula latifolia
Campanula medium,Campanula medium
Campanula moravica,Campanula moravica
Campanula morettiana,Campanula morettiana
Campanula patula s.lat,
Campanula patula ssp. jahorinae,Campanula patula subsp. jahorinae
Campanula patula ssp. patula,Campanula patula subsp. patula
Campanula persicifolia,Campanula persicifolia
Campanula portenschlagiana,Campanula portenschlagiana
Campanula poscharskyana,Campanula poscharskyana
Campanula praesignis,Campanula praesignis
Campanula pulla,Campanula pulla
Campanula pyramidalis,Campanula pyramidalis
Campanula rapunculoides ssp. rapunculoides,Campanula rapunculoides
Campanula rapunculus,Campanula rapunculus
Campanula rhomboidalis,Campanula rhomboidalis
Campanula rotundifolia agg.,
Campanula rotundifolia s.str.,Campanula rotundifolia subsp. rotundifolia
Campanula scheuchzeri,Campanula scheuchzeri
Campanula sibirica,Campanula sibirica subsp. sibirica
Campanula spicata,Campanula spicata
Campanula tatrae s.lat,
Campanula tatrae ssp. mentiens,
Campanula tatrae ssp. sudetica,
Campanula tatrae ssp. tatrae,
Campanula thyrsoides s.lat.,
Campanula thyrsoides ssp. carniolica,Campanula thyrsoides subsp. carniolica
Campanula thyrsoides ssp. thyrsoides,Campanula thyrsoides subsp. thyrsoides
Campanula trachelium,Campanula trachelium
Campanula witasekiana,Campanula witasekiana
Campylium stellatum,Campylium stellatum
Campylopus flexuosus,Campylopus flexuosus
Campylopus gracilis,Campylopus gracilis
Campylopus introflexus,Campylopus introflexus
Campylopus pyriformis,Campylopus pyriformis
Cannabis sativa,
Capsella bursa-pastoris s.str.,Capsella bursa-pastoris
Capsicum annuum,
Cardamine »rivularis«,
Cardamine alpina,Cardamine alpina
