Taxon,L,T,K,F,R,N,,FZ,S
Adonis vernalis,7,7,8,3,8,2,,,0
Adoxa moschatellina,4,i,6,6,7,8,,~,0
Aegonychon purpurocaeruleum,5,7,6,4,8,4,,,0
Aegopodium podagraria,5,5,3,6,7,8,,,0
Aesculus hippocastanum,5,6,6,6,6,7,,,0
Aethionema saxatile,9,5,5,2,9,2,,~,0
Aethusa cynapium,6,6,i,5,7,7,,,0
Aethusa cynapium subsp. cynapium,7,6,i,5,7,7,,,0
Aethusa cynapium subsp. elata,5,6,i,6,7,7,,,0
Agrimonia eupatoria subsp. eupatoria,7,6,4,4,7,5,,,1
Agrimonia procera,6,6,4,5,6,5,,~,0
Agropyron pectiniforme,8,7,8,2,8,3,,,0
Agrostemma githago,7,6,i,4,6,6,,,0
Agrostis alpina,9,2,5,4,6,4,,,0
Agrostis canina,9,5,5,8,3,2,,~,0
Agrostis capillaris,7,i,4,4,i,4,,,1
Agrostis castellana,8,7,i,3,3,3,,,0
Agrostis gigantea,7,6,i,7,7,5,,~,1
Agrostis rupestris,8,2,5,4,2,2,,,0
Agrostis scabra,8,6,3,8,4,i,,~,0
Agrostis schleicheri,8,3,3,5,7,4,,,0
Agrostis schraderiana,8,3,6,5,3,4,,,0
Agrostis stolonifera,8,i,5,7,6,5,,~,1
Agrostis vinealis,8,7,6,3,2,2,,~,0
Ailanthus altissima,7,8,5,5,7,7,,,1
Aira caryophyllea,9,6,4,2,3,1,,,0
Aira elegantissima,9,6,4,2,2,1,,,1
Ajuga chamaepitys,8,8,7,4,8,4,,,0
Ajuga genevensis,8,6,5,4,7,3,,,0
Ajuga pyramidalis,7,3,3,5,2,2,,,0
Ajuga reptans,5,5,i,6,6,6,,,0
Alcea biennis,8,8,7,4,8,4,,,1
Alcea rosea,8,8,7,4,6,5,,,0
Alchemilla acrodon,7,3,5,5,8,5,,,0
Alchemilla acutata,7,2,5,4,4,3,,,0
Alchemilla acutiloba,7,4,3,6,7,6,,,0
Alchemilla aggregata,6,2,3,8,8,5,,,0
Alchemilla alneti,5,3,3,7,4,5,,,0
Alchemilla alpigena,8,3,3,5,9,4,,,0
Alchemilla alpina,9,2,3,5,4,2,,,0
Alchemilla alpinula,8,3,3,4,9,2,,,0
Alchemilla anisiaca,8,3,4,4,9,3,,,0
Alchemilla antiropata,7,2,3,6,7,5,,,0
Alchemilla bonae,7,3,5,5,9,3,,,0
Alchemilla canifolia,7,3,5,5,8,5,,,0
Alchemilla carinthiaca,7,3,5,5,8,6,,,0
Alchemilla cataractarum,6,3,5,7,5,5,,,0
Alchemilla colorata,8,3,5,4,7,3,,,0
Alchemilla compta,7,3,5,6,7,7,,,0
Alchemilla connivens,8,4,3,5,7,5,,,0
Alchemilla coriacea,7,3,3,6,7,4,,,0
Alchemilla crinita,8,5,5,4,8,6,,,0
Alchemilla curta,7,3,5,7,8,5,,,0
Alchemilla curtiloba,7,3,5,5,8,6,,,0
Alchemilla cymatophylla,7,3,5,5,5,6,,,0
Alchemilla decumbens,7,2,4,6,6,3,,,0
Alchemilla demissa,8,2,4,8,7,5,,,0
Alchemilla effusa,7,4,4,7,5,5,,,0
Alchemilla eurystoma,7,3,5,4,5,5,,,0
Alchemilla exigua,8,3,4,4,6,3,,,0
Alchemilla fallax,8,3,4,4,8,3,,,0
Alchemilla filicaulis,7,3,3,5,6,4,,,0
Alchemilla fissa,8,2,4,6,5,3,,,0
Alchemilla flabellata,9,2,4,4,i,2,,,0
Alchemilla glabra,7,3,3,7,6,5,,,0
Alchemilla glacialis,9,2,4,5,8,3,,,0
Alchemilla glaucescens,8,4,5,4,i,3,,~,0
Alchemilla glomerulans,7,2,3,5,6,4,,,0
Alchemilla grossidens,8,2,4,4,7,3,,,0
Alchemilla hirtipes,7,4,5,6,5,4,,,0
Alchemilla hoppeana,8,2,3,5,9,3,,,0
Alchemilla impexa,8,3,3,6,8,7,,,0
Alchemilla incisa,8,3,4,6,i,3,,,0
Alchemilla kerneri,8,2,5,5,3,3,,,0
Alchemilla leutei,8,2,3,7,5,5,,,0
Alchemilla lineata,7,4,3,5,7,6,,,0
Alchemilla longana,9,2,4,7,6,3,,,0
Alchemilla longituba,7,3,3,7,7,5,,,0
Alchemilla lunaria,7,3,5,5,7,7,,,0
Alchemilla matreiensis,7,3,5,5,5,3,,,0
Alchemilla maureri,8,3,5,5,7,7,,,0
Alchemilla micans,7,4,4,6,6,4,,,0
Alchemilla mollis,5,6,5,4,6,7,,,0
Alchemilla monticola,7,i,6,4,i,7,,,0
Alchemilla nitida,8,3,5,5,7,4,,,0
Alchemilla norica,7,3,3,7,5,5,,,0
Alchemilla obtusa,7,3,4,6,8,4,,,0
Alchemilla othmarii,8,3,4,6,7,3,,,0
Alchemilla pallens,7,3,3,5,8,3,,,0
Alchemilla pentaphyllea,8,2,2,7,3,3,,,0
Alchemilla philonotis,8,3,3,8,5,5,,,0
Alchemilla platygyra,5,3,3,5,8,5,,,0
Alchemilla plicata,7,4,5,4,7,5,,,0
Alchemilla racemulosa,5,3,3,5,7,6,,,0
Alchemilla reniformis,8,3,4,i,i,5,,,0
Alchemilla rubristipula,8,4,4,6,6,4,,,0
Alchemilla saliceti,5,3,3,6,7,6,,,0
Alchemilla saxatilis,8,3,4,4,2,3,,,0
Alchemilla semisecta,7,2,4,7,5,5,,,0
Alchemilla sericata,8,6,5,4,i,4,,,0
Alchemilla sericoneura,7,3,3,4,9,3,,,0
Alchemilla speciosa,5,6,3,4,i,7,,,0
Alchemilla splendens,9,3,5,4,9,3,,,0
Alchemilla stiriaca,5,3,5,4,5,i,,,0
Alchemilla straminea,7,4,4,8,i,4,,,0
Alchemilla strigosula,8,4,4,4,8,4,,,0
Alchemilla subcrenata,8,4,6,6,i,7,,,0
Alchemilla subglobosa,8,4,5,4,8,6,,,0
Alchemilla subsericea,8,3,4,5,3,5,,,0
Alchemilla tenuis,6,4,4,5,8,4,,,0
Alchemilla tirolensis,8,3,5,4,7,5,,,0
Alchemilla undulata,8,3,3,6,8,7,,,0
Alchemilla venosula,5,2,3,5,8,5,,,0
Alchemilla versipila,7,2,4,6,7,7,,,0
Alchemilla xanthochlora,6,4,4,6,7,7,,,0
Aldrovanda vesiculosa,6,8,7,12,7,4,,,0
Alisma gramineum,7,7,7,11,7,4,,~,0
Alisma lanceolatum,7,7,7,10,7,6,,~,1
Alisma plantago-aquatica,7,5,i,10,7,8,,~,1
Alisma plantago-aquatica agg.,7,5,i,10,7,i,,~,1
Alliaria petiolata,5,6,i,5,7,8,,,0
Allium ampeloprasum subsp. porrum,7,9,i,5,5,7,,,0
Allium angulosum,8,7,7,8,8,3,,~,2
Allium atropurpureum,7,8,5,4,7,6,,,0
Allium atroviolaceum,7,9,6,4,6,6,,,0
Allium carinatum,8,6,6,4,7,3,,~,0
Allium carinatum subsp. carinatum,8,5,6,4,7,3,,~,0
Allium carinatum subsp. pulchellum,8,7,7,3,8,2,,,0
Allium cepa,7,9,5,4,7,7,,,0
Allium cepa var. aggregatum,7,9,5,4,7,7,,,0
Allium cepa var. ascalonicum,7,9,5,5,7,7,,,0
Allium ericetorum,8,5,5,3,9,3,,,0
Allium fistulosum,7,7,7,4,7,3,,,0
Allium flavum,7,7,7,2,8,2,,,0
Allium kermesinum,8,3,5,3,9,1,,,0
Allium moly,9,8,4,5,7,4,,,0
Allium nigrum,7,9,4,3,6,6,,,0
Allium oleraceum,6,6,4,4,7,5,,,0
Allium paradoxum,5,6,7,5,7,7,,,0
Allium rotundum,7,7,7,4,8,4,,,0
Allium schoenoprasum,8,i,i,8,7,4,,~,0
Allium schoenoprasum var. alpinum,8,i,6,8,7,4,,~,0
Allium schoenoprasum var. schoenoprasum,8,3,i,8,7,4,,~,0
Allium scorodoprasum,6,6,6,6,7,7,,,1
Allium senescens subsp. montanum,7,5,5,2,i,2,,,0
Allium sphaerocephalon,9,8,5,2,8,2,,,1
Allium strictum,9,6,8,2,6,2,,,0
Allium suaveolens,9,6,5,8,9,2,,~,0
Allium subhirsutum,8,9,4,2,4,2,,,0
Allium ursinum,3,6,4,i,7,6,,~,0
Allium victorialis,6,3,4,5,7,5,,~,0
Allium vineale,7,7,4,4,7,6,,~,1
Alnus alnobetula,7,3,5,6,5,6,,,0
Alnus cordata,5,6,4,8,6,7,,,0
Alnus glutinosa,5,5,i,9,6,7,,=,1
Alnus incana,6,4,6,7,8,6,,=,0
Alopecurus aequalis,9,5,6,9,6,8,,=,2
Alopecurus geniculatus,9,6,5,8,7,7,,=,1
Alopecurus myosuroides,7,6,3,5,7,7,,,1
Alopecurus pratensis,8,5,5,6,6,7,,~,1
Alopecurus rendlei,8,7,5,6,8,4,,~,2
Althaea cannabina,8,7,6,5,6,4,,,0
Althaea officinalis,7,7,8,7,8,6,,=,4
Althaea taurinensis,7,7,8,7,8,6,,=,1
Alyssum alyssoides,9,6,5,3,8,2,,,0
Alyssum hirsutum,8,6,7,4,7,2,,,0
Alyssum montanum subsp. gmelinii,9,7,7,2,8,1,,,0
Alyssum neglectum,9,2,4,3,9,1,,,0
Alyssum repens subsp. repens,7,6,6,2,7,3,,,0
Alyssum strigosum,9,6,5,3,8,2,,,0
Alyssum turkestanicum,9,8,5,3,8,1,,,0
Alyssum wulfenianum,9,3,4,3,8,1,,,0
Alyssum wulfenianum subsp. ovirense,9,2,4,4,9,1,,,0
Alyssum wulfenianum subsp. wulfenianum,9,4,4,3,7,1,,,0
Amaranthus albus,9,8,6,4,7,7,,,1
Amaranthus blitoides,8,8,6,3,7,8,,,1
Amaranthus blitum,8,8,i,4,7,8,,,1
Amaranthus bouchonii,8,8,3,4,7,8,,,1
Amaranthus caudatus,8,9,2,4,7,9,,,1
Amaranthus crispus,9,8,7,4,6,8,,,1
Amaranthus cruentus,8,8,3,4,7,7,,,0
Amaranthus deflexus,8,9,5,4,7,8,,,1
Amaranthus emarginatus,8,8,i,5,7,8,,,1
Amaranthus graecizans,9,9,i,3,7,8,,,1
Amaranthus graecizans subsp. graecizans,9,9,i,3,7,8,,,1
Amaranthus graecizans subsp. sylvestris,9,9,i,3,8,8,,,1
Amaranthus hybridus,9,9,7,4,7,8,,,1
Amaranthus hypochondriacus,8,8,7,4,7,8,,,1
Amaranthus muricatus,8,9,5,4,6,8,,,0
Amaranthus palmeri,8,9,7,3,5,8,,,0
Amaranthus powellii,8,8,5,4,7,8,,,1
Amaranthus retroflexus,8,7,6,4,7,8,,,1
Amaranthus standleyanus,8,9,3,3,5,8,,,0
Amaranthus viridis,8,9,3,4,7,8,,,1
Ambrosia artemisiifolia,8,7,7,4,7,7,,,1
Ambrosia psilostachya,9,8,3,3,7,4,,,2
Ambrosia trifida,8,8,4,6,7,8,,,1
Amelanchier lamarckii,7,6,5,5,3,3,,,0
Amelanchier ovalis,7,i,4,2,7,3,,,0
Amelanchier ovalis subsp. embergeri,7,6,4,3,7,3,,,0
Amelanchier ovalis subsp. ovalis,7,i,7,1,9,3,,,0
Amelanchier spicata,5,4,5,5,6,3,,,0
Ammi majus,8,8,i,4,7,7,,~,1
Ammi visnaga,9,9,5,6,5,2,,,0
Amorpha fruticosa,7,7,6,5,6,6,,~,1
Anacamptis coriophora,8,7,6,4,7,2,,~,1
Anacamptis morio subsp. morio,8,5,4,4,7,3,,~,1
Anacamptis palustris,8,7,5,9,8,3,,~,1
Anacamptis pyramidalis,8,5,4,3,9,2,,~,0
Anacyclus radiatus,8,9,4,4,5,2,,,0
Anagallis arvensis subsp. arvensis,7,6,i,5,6,6,,,1
Anagallis foemina,7,7,i,4,8,5,,,1
Anagallis minima,8,6,4,7,4,3,,~,0
Anagallis tenella,8,6,2,9,5,4,,,0
Anaphalis margaritacea,7,5,3,5,5,4,,,0
Anchusa ochroleuca,9,9,7,2,9,5,,,0
Anchusa officinalis,8,7,6,3,7,5,,,0
Andromeda polifolia,9,4,5,9,1,1,,,0
Androsace alpina,9,1,6,6,2,2,,,0
Androsace chamaejasme,9,2,7,5,8,2,,,0
Androsace elongata,9,7,8,2,6,2,,,0
Androsace hausmannii,9,1,5,3,8,1,,,0
Androsace helvetica,9,2,5,2,8,1,,,0
Androsace lactea,8,3,4,4,9,3,,,0
Androsace maxima,8,8,7,4,7,3,,,1
Androsace obtusifolia,8,2,6,5,2,1,,,0
Androsace septentrionalis,8,5,7,2,5,2,,,0
Androsace villosa,9,2,5,4,8,3,,,0
Androsace vitaliana subsp. sesleri,9,2,4,5,5,2,,,0
Androsace wulfeniana,8,2,5,4,2,2,,,0
Andryala integrifolia,8,9,3,2,2,3,,,1
Anemonastrum narcissiflorum,8,3,6,5,7,4,,~,0
Anemone apennina,5,5,6,4,5,5,,,0
Anemone baldensis,8,1,4,4,7,3,,,0
Anemone blanda,5,7,3,5,5,5,,,0
Anemone nemorosa,4,5,i,5,5,4,,,0
Anemone ranunculoides,3,6,6,6,8,7,,,0
Anemone sylvestris,7,7,7,3,7,3,,,0
Anemone trifolia,3,5,6,5,6,5,,,0
Anethum graveolens,7,7,3,5,5,5,,,0
Angelica archangelica,7,6,7,9,6,9,,=,1
Angelica archangelica subsp. archangelica,7,6,7,9,6,9,,=,1
Angelica archangelica subsp. litoralis,8,4,4,8,7,7,,,1
Angelica palustris,7,6,7,8,6,7,,,0
Angelica sylvestris,6,5,i,7,6,6,,,0
Antennaria carpatica,9,2,7,4,5,2,,,0
Antennaria dioica,7,i,i,4,3,2,,,0
Anthemis altissima,8,8,6,3,5,6,,,0
Anthemis arvensis,7,6,4,4,4,6,,,0
Anthemis carpatica,8,2,7,4,4,4,,,0
Anthemis cotula,7,6,i,4,7,7,,,2
Anthemis ruthenica,8,7,8,3,5,6,,,0
Anthemis segetalis,7,8,6,3,4,4,,,0
Anthericum liliago,7,6,4,3,5,3,,,0
Anthericum ramosum,6,5,5,3,i,3,,~,0
Anthoxanthum aristatum,7,7,2,2,2,3,,,0
Anthoxanthum australe,5,7,6,4,6,3,,,0
Anthoxanthum nipponicum,8,3,6,5,3,3,,,0
Anthoxanthum nitens,8,6,7,7,6,4,,~,0
Anthoxanthum odoratum,7,5,i,5,5,4,,,1
Anthoxanthum repens,6,7,7,5,7,4,,=,1
Anthriscus caucalis,7,7,3,5,6,8,,,1
Anthriscus cerefolium,6,7,7,4,7,8,,,0
Anthriscus nitidus,4,4,4,6,8,8,,,0
Anthriscus sylvestris,7,6,i,5,7,8,,,0
Anthyllis montana subsp. jacquinii,7,6,6,1,9,2,,,0
Anthyllis vulneraria,8,i,i,4,7,3,,,0
Anthyllis vulneraria subsp. alpicola,8,2,3,4,8,2,,,0
Anthyllis vulneraria subsp. carpatica,7,6,4,3,7,3,,,0
Anthyllis vulneraria subsp. polyphylla,8,7,6,3,7,2,,,0
Anthyllis vulneraria subsp. pseudovulneraria,8,5,5,4,7,3,,,0
Antirrhinum majus,8,8,2,3,7,6,,,1
Apera interrupta,9,7,7,3,4,3,,,1
Apera spica-venti,7,6,4,5,5,6,,,0
Aphanes arvensis,7,6,4,5,4,5,,,0
Aphanes australis,7,7,3,4,4,4,,,0
Apios americana,7,9,3,6,5,5,,,0
Apium graveolens,9,6,2,8,7,8,,,4
Aposeris foetida,4,4,4,5,7,5,,,0
Aquilegia alpina,8,3,4,5,7,5,,,0
Aquilegia einseleana,7,3,5,4,9,4,,,0
Aquilegia vulgaris,6,5,5,4,8,3,,~,0
Aquilegia vulgaris subsp. atrata,6,4,6,4,8,3,,~,0
Aquilegia vulgaris subsp. nigricans,6,4,5,4,8,3,,,0
Aquilegia vulgaris subsp. vulgaris,6,6,5,4,7,4,,,0
Arabidopsis arenosa,7,6,5,3,6,2,,,0
Arabidopsis arenosa subsp. arenosa,7,6,6,3,6,2,,,0
Arabidopsis arenosa subsp. borbasii,7,6,5,3,6,2,,,0
Arabidopsis halleri,7,4,4,6,5,5,,,0
Arabidopsis lyrata subsp. petraea,7,5,6,3,8,2,,,0
Arabidopsis thaliana,7,6,i,4,4,4,,,0
Arabis alpina,7,i,5,6,9,3,,,0
Arabis alpina subsp. alpina,7,3,5,6,9,3,,,0
Arabis alpina subsp. caucasica,7,5,5,6,9,3,,,0
Arabis arabiformis,8,2,5,5,9,2,,,0
Arabis bellidifolia,8,2,6,5,8,3,,~,0
Arabis caerulea,9,1,6,7,8,4,,,0
Arabis ciliata,9,5,5,5,8,3,,,0
Arabis hirsuta,7,5,4,3,8,4,,~,0
Arabis hirsuta agg.,7,i,4,i,7,4,,~,0
Arabis nemorensis,8,6,5,7,8,4,,~,0
Arabis nova,6,5,5,4,7,4,,,0
Arabis procurrens,5,8,7,3,7,3,,,0
Arabis rosea,7,9,5,1,5,3,,,0
Arabis sagittata,7,7,5,3,8,3,,,0
Arabis soyeri subsp. subcoriacea,8,2,6,9,9,2,,=,0
Arabis stellulata,8,2,4,3,9,2,,,0
Arabis sudetica,7,3,4,6,7,6,,,0
Arabis verna,6,8,4,3,5,3,,,0
Arctium lappa,8,6,i,5,7,8,,,1
Arctium minus,8,5,i,5,7,8,,,0
Arctium nemorosum,5,6,4,7,7,8,,,0
Arctium pubens,5,6,4,6,7,8,,,0
Arctium tomentosum,8,5,6,5,8,9,,,1
Arctostaphylos alpinus,7,2,6,5,7,2,,,0
Arctostaphylos uva-ursi,6,3,6,3,3,2,,,0
Aremonia agrimonoides,4,7,5,5,8,5,,,0
Arenaria biflora,8,1,6,7,4,2,,,0
Arenaria ciliata,8,1,6,5,7,3,,,0
Arenaria grandiflora,9,3,6,2,9,2,,,0
Arenaria leptoclados,9,7,6,3,7,3,,,0
Arenaria marschlinsii,9,3,5,5,6,4,,,0
Arenaria multicaulis,9,2,4,4,8,2,,,0
Arenaria serpyllifolia,8,5,5,4,7,5,,,1
Arenaria serpyllifolia agg.,8,i,i,4,7,i,,,1
Argentina anserina,7,i,i,6,6,7,,~,3
Aristolochia clematitis,6,7,4,5,8,7,,=,0
Armeria alpina,9,2,5,4,i,2,,,0
Armeria arenaria subsp. arenaria,8,8,2,3,4,2,,,0
Armeria vulgaris subsp. elongata,7,6,5,3,6,2,,,0
Armoracia rusticana,8,6,5,5,7,9,,,1
Arnica chamissonis,8,3,5,6,3,7,,,0
Arnica montana,8,4,5,5,3,2,,,0
Arnoseris minima,8,6,3,4,3,3,,,0
Arrhenatherum elatius,7,5,4,4,7,6,,,0
Artemisia abrotanum,8,9,7,4,7,5,,,1
Artemisia absinthium,8,6,i,4,7,7,,,1
Artemisia alba,9,9,7,2,8,2,,,0
Artemisia annua,9,7,7,4,7,6,,,1
Artemisia austriaca,8,8,8,2,7,3,,,1
Artemisia biennis,7,8,7,3,5,7,,,0
Artemisia borealis,8,3,8,4,6,2,,,0
Artemisia campestris,9,i,5,2,6,2,,,0
Artemisia dracunculus,7,8,9,3,6,6,,,0
Artemisia genipi,9,1,7,3,7,2,,,0
Artemisia laciniata,9,8,8,4,7,3,,,7
Artemisia mutellina,9,1,6,3,7,2,,,0
Artemisia nitida,9,3,4,3,9,3,,,0
Artemisia pancicii,9,8,8,2,8,3,,,0
Artemisia pontica,9,7,8,3,8,4,,,3
Artemisia repens,8,8,8,2,7,3,,,1
Artemisia santonicum subsp. pannonica,9,7,8,5,8,7,,=,8
Artemisia scoparia,9,6,8,4,7,3,,,1
Artemisia tournefortiana,9,7,i,4,6,7,,,1
Artemisia umbrosa,8,7,8,5,7,8,,,1
Artemisia verlotiorum,8,6,5,5,7,8,,=,1
Artemisia vulgaris,7,6,i,5,6,8,,~,1
Arum cylindraceum,3,6,6,5,8,7,,,0
Arum italicum,4,7,4,5,7,6,,,0
Arum maculatum,3,6,3,6,7,8,,,0
Aruncus dioicus,4,5,5,6,7,8,,,0
Arundo donax,8,9,5,7,5,7,,,2
Asarina procumbens,7,8,7,1,3,5,,,0
Asarum europaeum,3,5,5,5,7,6,,,0
Asarum europaeum subsp. caucasicum,3,5,6,5,8,6,,,0
Asarum europaeum subsp. europaeum,2,5,5,5,7,6,,,0
Asclepias syriaca,8,8,6,5,6,7,,,1
Asparagus officinalis,7,8,6,4,7,5,,~,1
Asparagus tenuifolius,6,8,5,3,8,4,,,0
Asperugo procumbens,7,6,6,4,8,8,,,1
Asperula aristata subsp. oreophila,9,8,8,1,9,2,,,0
Asperula arvensis,8,7,5,4,9,4,,~,0
Asperula cynanchica,7,6,5,2,7,3,,,0
Asperula neilreichii,8,4,5,2,9,2,,,0
Asperula purpurea,9,7,6,1,9,2,,,0
Asperula taurina subsp. taurina,4,7,3,5,8,5,,,0
Asperula tinctoria,6,6,6,4,8,3,,~,0
Asphodelus fistulosus,9,8,5,3,5,2,,,0
Asplenium adiantum-nigrum,6,6,5,4,i,3,,,0
Asplenium adiantum-nigrum subsp. adiantum-nigrum,6,7,4,4,2,3,,,0
Asplenium adiantum-nigrum subsp. cuneifolium,6,5,5,3,6,2,,,0
Asplenium adulterinum,6,4,6,4,6,2,,,0
Asplenium ceterach,7,7,3,2,8,2,,,0
Asplenium fissum,8,4,5,3,9,2,,,0
Asplenium fontanum,5,6,2,5,9,2,,,0
Asplenium lepidum,8,6,4,1,9,1,,,0
Asplenium ruta-muraria,7,i,i,2,8,2,,,0
Asplenium ruta-muraria subsp. dolomiticum,7,6,5,2,9,1,,,0
Asplenium ruta-muraria subsp. ruta-muraria,7,5,6,2,8,2,,,0
Asplenium scolopendrium,3,5,3,6,8,5,,,0
Asplenium seelosii,8,4,4,1,9,1,,,0
Asplenium septentrionale,8,i,5,2,2,2,,,0
Asplenium trichomanes,i,i,i,4,i,3,,,0
Asplenium trichomanes subsp. hastatum,5,6,4,3,9,2,,,0
Asplenium trichomanes subsp. inexpectans,5,6,4,3,9,2,,,0
Asplenium trichomanes subsp. pachyrachis,5,6,4,3,9,2,,,0
Asplenium trichomanes subsp. quadrivalens,i,i,4,4,7,3,,,0
Asplenium trichomanes subsp. trichomanes,5,5,3,4,2,2,,,0
Asplenium viride,4,4,4,5,8,3,,,0
Asplenium x alternifolium,7,4,4,3,3,2,,,0
Aster alpinus,9,2,7,4,7,3,,,0
Aster amellus,8,6,7,3,8,3,,,0
Astilbe japonica,6,8,3,5,5,6,,,0
Astragalus alpinus,9,2,6,4,7,3,,,0
Astragalus asper,9,8,8,3,8,2,,,1
Astragalus australis,9,2,6,5,7,2,,,0
Astragalus austriacus,8,8,7,3,8,2,,,0
Astragalus cicer,7,6,5,4,7,4,,~,0
Astragalus danicus,8,7,8,3,8,3,,~,1
Astragalus depressus,8,3,7,2,7,3,,,0
Astragalus exscapus,9,7,8,2,8,2,,,0
Astragalus frigidus subsp. frigidus,8,2,7,4,8,2,,,0
Astragalus glycyphyllos,6,6,5,4,7,4,,,0
Astragalus hypoglottis subsp. gremlii,8,4,8,2,8,3,,,0
Astragalus leontinus,6,3,8,2,7,2,,,0
Astragalus norvegicus,7,2,7,5,7,3,,,0
Astragalus onobrychis,8,7,7,2,9,2,,,0
Astragalus penduliflorus,7,3,7,4,7,2,,,0
Astragalus sulcatus,8,7,7,3,7,2,,,1
Astragalus vesicarius subsp. vesicarius,9,8,8,1,9,1,,,0
Astrantia bavarica,7,3,5,4,8,3,,,0
Astrantia carniolica,6,4,5,5,7,5,,,0
Astrantia major,6,4,5,6,8,5,,,0
Athamanta cretensis,9,3,4,3,9,2,,,0
Athyrium distentifolium,6,3,5,6,4,4,,~,0
Athyrium filix-femina,3,i,4,7,i,5,,,0
Atocion armeria,7,7,5,4,5,2,,,0
Atocion rupestre,8,3,4,3,3,2,,,0
Atriplex hortensis,7,6,6,5,7,8,,,1
Atriplex intracontinentalis,9,6,8,5,7,9,,=,6
Atriplex micrantha,9,7,7,5,7,7,,,1
Atriplex oblongifolia,9,7,7,4,7,6,,,1
Atriplex patula,6,6,i,5,7,6,,,1
Atriplex prostrata,8,7,i,6,7,8,,,3
Atriplex rosea,9,8,7,4,7,7,,,2
Atriplex sagittata,8,7,8,5,7,7,,,1
Atriplex tatarica,9,8,8,3,7,7,,,2
